date,date_hijri,day,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
26-November-2019,29-Raw-1441,Selasa,5:32 am,5:42 am,7:00 am,1:03 pm,4:25 pm,7:01 pm,8:14 pm
27-November-2019,30-Raw-1441,Rabu,5:32 am,5:42 am,7:00 am,1:03 pm,4:26 pm,7:01 pm,8:15 pm
28-November-2019,01-Rak-1441,Khamis,5:33 am,5:43 am,7:01 am,1:04 pm,4:26 pm,7:01 pm,8:15 pm
29-November-2019,02-Rak-1441,Jumaat,5:33 am,5:43 am,7:01 am,1:04 pm,4:26 pm,7:02 pm,8:15 pm
30-November-2019,03-Rak-1441,Sabtu,5:33 am,5:43 am,7:01 am,1:04 pm,4:27 pm,7:02 pm,8:16 pm
01-December-2019,04-Rak-1441,Ahad,5:34 am,5:44 am,7:02 am,1:05 pm,4:27 pm,7:02 pm,8:16 pm
02-December-2019,05-Rak-1441,Isnin,5:34 am,5:44 am,7:02 am,1:05 pm,4:28 pm,7:03 pm,8:17 pm
03-December-2019,06-Rak-1441,Selasa,5:34 am,5:44 am,7:03 am,1:06 pm,4:28 pm,7:03 pm,8:17 pm
04-December-2019,07-Rak-1441,Rabu,5:35 am,5:45 am,7:03 am,1:06 pm,4:28 pm,7:03 pm,8:17 pm
05-December-2019,08-Rak-1441,Khamis,5:35 am,5:45 am,7:03 am,1:06 pm,4:29 pm,7:04 pm,8:18 pm
06-December-2019,09-Rak-1441,Jumaat,5:35 am,5:45 am,7:04 am,1:07 pm,4:29 pm,7:04 pm,8:18 pm
07-December-2019,10-Rak-1441,Sabtu,5:36 am,5:46 am,7:04 am,1:07 pm,4:30 pm,7:04 pm,8:19 pm
08-December-2019,11-Rak-1441,Ahad,5:36 am,5:46 am,7:05 am,1:08 pm,4:30 pm,7:05 pm,8:19 pm
09-December-2019,12-Rak-1441,Isnin,5:36 am,5:46 am,7:05 am,1:08 pm,4:31 pm,7:05 pm,8:20 pm
10-December-2019,13-Rak-1441,Selasa,5:37 am,5:47 am,7:06 am,1:09 pm,4:31 pm,7:06 pm,8:20 pm
11-December-2019,14-Rak-1441,Rabu,5:37 am,5:47 am,7:06 am,1:09 pm,4:32 pm,7:06 pm,8:21 pm
12-December-2019,15-Rak-1441,Khamis,5:38 am,5:48 am,7:07 am,1:09 pm,4:32 pm,7:07 pm,8:21 pm
13-December-2019,16-Rak-1441,Jumaat,5:38 am,5:48 am,7:07 am,1:10 pm,4:32 pm,7:07 pm,8:22 pm
14-December-2019,17-Rak-1441,Sabtu,5:39 am,5:49 am,7:08 am,1:10 pm,4:33 pm,7:07 pm,8:22 pm
15-December-2019,18-Rak-1441,Ahad,5:39 am,5:49 am,7:08 am,1:11 pm,4:33 pm,7:08 pm,8:23 pm
16-December-2019,19-Rak-1441,Isnin,5:40 am,5:50 am,7:09 am,1:11 pm,4:34 pm,7:08 pm,8:23 pm
17-December-2019,20-Rak-1441,Selasa,5:40 am,5:50 am,7:09 am,1:12 pm,4:34 pm,7:09 pm,8:24 pm
18-December-2019,21-Rak-1441,Rabu,5:40 am,5:50 am,7:10 am,1:12 pm,4:35 pm,7:09 pm,8:24 pm
19-December-2019,22-Rak-1441,Khamis,5:41 am,5:51 am,7:10 am,1:13 pm,4:35 pm,7:10 pm,8:25 pm
20-December-2019,23-Rak-1441,Jumaat,5:41 am,5:51 am,7:11 am,1:13 pm,4:36 pm,7:10 pm,8:25 pm
21-December-2019,24-Rak-1441,Sabtu,5:42 am,5:52 am,7:11 am,1:14 pm,4:36 pm,7:11 pm,8:26 pm
22-December-2019,25-Rak-1441,Ahad,5:42 am,5:52 am,7:12 am,1:14 pm,4:37 pm,7:11 pm,8:26 pm
23-December-2019,26-Rak-1441,Isnin,5:43 am,5:53 am,7:12 am,1:15 pm,4:37 pm,7:12 pm,8:27 pm
24-December-2019,27-Rak-1441,Selasa,5:43 am,5:53 am,7:13 am,1:15 pm,4:38 pm,7:12 pm,8:27 pm
25-December-2019,28-Rak-1441,Rabu,5:44 am,5:54 am,7:13 am,1:16 pm,4:38 pm,7:13 pm,8:28 pm
26-December-2019,29-Rak-1441,Khamis,5:44 am,5:54 am,7:14 am,1:16 pm,4:39 pm,7:13 pm,8:28 pm
27-December-2019,30-Rak-1441,Jumaat,5:45 am,5:55 am,7:14 am,1:17 pm,4:39 pm,7:14 pm,8:29 pm
28-December-2019,01-Jaw-1441,Sabtu,5:45 am,5:55 am,7:15 am,1:17 pm,4:40 pm,7:14 pm,8:29 pm
29-December-2019,02-Jaw-1441,Ahad,5:46 am,5:56 am,7:15 am,1:18 pm,4:40 pm,7:15 pm,8:30 pm
30-December-2019,03-Jaw-1441,Isnin,5:46 am,5:56 am,7:15 am,1:18 pm,4:41 pm,7:15 pm,8:30 pm
31-December-2019,04-Jaw-1441,Selasa,5:47 am,5:57 am,7:16 am,1:19 pm,4:41 pm,7:16 pm,8:31 pm
